State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,Population
TEXAS,Under 18,"171,536","4,900","32,028",73,294,"1,729","2,804","5,599","25,055","1,113",261,"22,524",160,425,59,145,"5,638","1,641",139,676,"15,326",52,44,"1,082","5,601","3,141","20,305","1,901","29,338",0,"13,164","13,247",964,"23,376,796"
,Total all ages,"1,141,646","34,235","130,782",863,"2,034","8,199","23,139","19,693","104,395","5,962",732,"109,003","7,323","13,473",573,745,"13,855","11,667","8,784","4,059","136,897",500,"4,939","90,066","29,859","140,094","40,371","3,224","334,786",0,"13,164","13,247",,
UTAH,Under 18,"24,576",359,"6,278",6,52,68,233,396,"5,666",153,63,"2,210",25,53,1,184,"1,799",355,23,314,"1,663",1,127,98,"2,146",197,"1,900",163,"5,040",0,"1,015",625,106,"2,376,842"
,Total all ages,"114,017","2,044","18,725",47,181,495,"1,321","1,342","16,821",460,102,"10,515",927,"1,031",22,787,"3,999","1,200",463,811,"9,242",7,"1,667","6,894","9,577","4,181","4,563",189,"35,533",0,"1,015",625,,
VERMONT,Under 18,"1,403",47,293,1,9,1,36,60,202,23,8,205,4,7,1,20,116,15,0,2,141,0,10,24,156,4,123,0,233,0,0,2,73,"509,775"
,Total all ages,"13,533",456,"1,714",8,71,21,356,300,"1,308",87,19,"1,454",88,346,42,133,402,18,6,23,"1,137",0,313,"2,647",662,9,854,1,"3,226",0,0,2,,
VIRGINIA,Under 18,"40,940","1,105","6,743",20,52,506,527,"1,154","5,198",221,170,"4,946",54,136,99,190,"1,523",558,4,209,"2,736",4,22,183,"2,284",208,"1,515",0,"9,848",0,"2,854","5,719",375,"7,543,553"
,Total all ages,"331,159","7,457","33,083",309,370,"2,194","4,584","4,624","27,101","1,052",306,"38,256","2,433","8,818","1,936",989,"4,979","4,035",558,"1,068","32,513",58,"1,643","27,732","12,885","30,407","5,912",111,"107,713",0,"2,854","5,719",,
WASHINGTON,Under 18,"30,669","1,247","8,865",8,115,452,672,"1,515","6,814",401,135,"4,206",61,43,6,424,"2,212",634,54,183,"2,555",0,15,488,"3,536",0,654,0,"3,838",0,48,"1,600",208,"4,761,193"
,Total all ages,"228,993","6,943","32,352",104,675,"1,637","4,527","4,895","25,769","1,412",276,"26,165","1,567",991,147,"2,792","6,539","2,879",694,994,"23,440",1,691,"34,952","11,634",3,"4,797",32,"69,732",0,48,"1,600",,
WEST VIRGINIA,Under 18,"2,317",77,620,0,2,16,59,70,517,28,5,388,1,2,3,20,104,27,1,12,219,0,6,29,163,12,54,0,447,0,69,63,148,"1,109,343"
,Total all ages,"41,681","1,280","5,059",31,40,143,"1,066",583,"4,263",179,34,"5,643",306,731,91,204,797,268,150,112,"4,249",19,66,"4,429","1,217","4,264","1,075",18,"11,571",0,69,63,,
WISCONSIN,Under 18,"100,121","1,644","15,265",31,156,646,811,"1,628","12,744",767,126,"3,862",94,203,22,713,"4,157","1,402",27,986,"4,597",49,223,573,"9,776",0,"18,662",84,"26,633",0,"7,046","4,103",367,"5,540,528"
,Total all ages,"411,968","8,050","42,425",195,710,"1,981","5,164","4,664","35,698","1,664",399,"19,821","1,842","6,321",268,"1,815","10,475","4,997",687,"2,750","25,075",137,"2,768","40,549","41,928",0,"64,868","2,795","123,248",0,"7,046","4,103",,
WYOMING,Under 18,"6,861",73,"1,097",1,7,12,53,90,944,51,12,742,6,10,0,10,313,46,0,19,505,1,29,91,"1,231",32,226,21,"1,491",10,428,480,62,"528,009"
,Total all ages,"40,979",633,"3,073",14,45,35,539,334,"2,592",125,22,"3,408",113,226,5,75,889,136,34,173,"2,969",7,267,"7,159","4,617","2,754","1,469",34,"11,999",31,428,480,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
